experiment_id,parent_experiment,date_if_known,category,model_family,objective,feature_summary,cv_scheme,oof_auc,public_lb,private_lb,status,submission_created,script_path,metrics_path,report_paths,prediction_paths,key_result,decision,notes,source_confidence
EXP-001,,2026-08-22T01:49:46-03:00,MODEL,LogisticRegression,baseline classification,"original features; median imputation, scaling, OHE",5-fold StratifiedKFold,0.911452,0.91355,,SUCCESS,true,src/train_logistic_baseline.py,outputs/metrics/exp001_logistic_metrics.txt;outputs/metrics/exp001_logistic_oof.csv,,outputs/submissions/submission_exp001_logistic.csv,Baseline reproducible,Keep as baseline,,EXACT
EXP-002,EXP-001,2026-08-22T02:15:24-03:00,MODEL,CatBoost,stronger baseline,original features; native numerical missing,5-fold StratifiedKFold,0.958956,0.95996,,SUCCESS,true,src/train_catboost_baseline.py,outputs/metrics/exp002_catboost_metrics.txt;outputs/metrics/exp002_catboost_oof.csv,,outputs/submissions/submission_exp002_catboost.csv,Large gain over logistic,Keep,,EXACT
EXP-003,EXP-002,2026-08-22T10:04:01-03:00,MODEL,CatBoost,increase CatBoost capacity,original features; 4000 iterations,5-fold StratifiedKFold,0.963593,0.96497,,SUCCESS,true,src/train_catboost_exp003.py,outputs/metrics/exp003_catboost_metrics.txt;outputs/metrics/exp003_catboost_oof.csv,,outputs/predictions/oof_exp003_catboost.csv;outputs/submissions/submission_exp003_catboost_4000.csv,Improves EXP-002,Keep,,EXACT
EXP-004,,2026-08-22T12:00:49-03:00,MODEL,LightGBM,tree baseline and diversity,original features; native missing/categorical,5-fold StratifiedKFold,0.963537,0.96515,,SUCCESS,true,src/train_lightgbm_exp004.py,outputs/metrics/exp004_lightgbm_metrics.txt,,outputs/predictions/oof_exp004_lightgbm.csv;outputs/predictions/test_exp004_lightgbm.csv;outputs/submissions/submission_exp004_lightgbm.csv,Competitive baseline,Keep,,EXACT
EXP-005,EXP-003;EXP-004,2026-08-22T12:25:21-03:00,ENSEMBLE,Linear blend,blend complementary models,EXP-003 + EXP-004 predictions,OOF blend,0.96407743,0.96536,,SUCCESS,true,src/create_blend_exp005.py,outputs/metrics/exp005_blend_metrics.txt,,outputs/submissions/submission_exp005_blend_cat_lgbm.csv,OOF blend improvement,Keep,,EXACT
EXP-006,EXP-004,2026-08-22T12:43:13-03:00,MODEL,LightGBM,test engineered behavioral features,original + 8 ratios/differences,5-fold StratifiedKFold,0.963665,0.96538,,SUCCESS,true,src/train_lightgbm_exp006_features.py,outputs/metrics/exp006_lightgbm_features_metrics.txt,,outputs/predictions/oof_exp006_lightgbm_features.csv;outputs/predictions/test_exp006_lightgbm_features.csv;outputs/submissions/submission_exp006_lightgbm_features.csv,Small consistent gain,Keep,,EXACT
EXP-007,EXP-003;EXP-004;EXP-006,2026-08-22T15:18:35-03:00,ENSEMBLE,Weighted ensemble,improve OOF by diversity,existing predictions,OOF ensemble optimization,0.96425749,0.96555,,SUCCESS,true,src/ensemble_exp007.py,outputs/metrics/exp007_ensemble_metrics.txt,,outputs/submissions/submission_exp007_ensemble.csv,Three-model probability blend,Keep,,EXACT
EXP-008,,2026-08-22T16:05:16-03:00,MODEL,XGBoost,XGBoost baseline,original features; ordinal categories,5-fold StratifiedKFold,0.964358,0.96587,,SUCCESS,true,src/train_xgboost_exp008.py,outputs/metrics/exp008_xgboost_metrics.txt,,outputs/predictions/oof_exp008_xgboost.csv;outputs/predictions/test_exp008_xgboost.csv;outputs/submissions/submission_exp008_xgboost.csv,Best individual at stage,Keep,,EXACT
EXP-009,EXP-003;EXP-006;EXP-008,2026-08-22T19:42:18-03:00,ENSEMBLE,Weighted rank ensemble,add XGBoost diversity,existing predictions,OOF ensemble optimization,0.96474203,0.96601,,SUCCESS,true,src/ensemble_exp009.py,outputs/metrics/exp009_ensemble_metrics.txt,,outputs/submissions/submission_exp009_ensemble.csv,Rank ensemble,Keep,,EXACT
EXP-010,EXP-008,2026-08-22T20:20:14-03:00,MODEL,XGBoost,test engineered behavioral features,original + EXP-006 engineered features,5-fold StratifiedKFold,0.96437584,,,MARGINAL,true,src/train_xgboost_exp010_features.py,outputs/metrics/exp010_xgboost_features_metrics.txt,,outputs/predictions/oof_exp010_xgboost_features.csv;outputs/predictions/test_exp010_xgboost_features.csv;outputs/submissions/submission_exp010_xgboost_features.csv,Near tie vs EXP-008,Do not prioritize alone,,EXACT
